Cree	-2000	cree	totemism	Cree	na	na	1000
Cree	1668	cree	protestant	Cree	ENG	ENG	100
Cree	1700	cree	protestant	Cree	ENG	ENG	520
Cree	1707	cree	protestant	Cree	GBR	GBR	520
Cree	1870	cree	protestant	Cree	CAN	GBR	520
Cree	1980	cree	protestant	Waskaganish	CAN	GBR	520
Sault	-2000	anishinabe	totemism	Sault	na	na	1000
Sault	1668	cosmopolitan_french	catholic	Sault Ste. Marie	FRA	FRA	100
Sault	1763	english	catholic	Sault Ste. Marie	GBR	GBR	100
Sault	1790	british_canadian	catholic	Sault Ste. Marie	GBR	GBR	100
Sault	1867	british_canadian	catholic	Sault Ste. Marie	CAN	GBR	100
Abitbi	-2000	cree	totemism	Abitbi	na	na	1000
Abitbi	1686	cosmopolitan_french	catholic	Abitbi	FRA	FRA	250
Abitbi	1760	cosmopolitan_french	catholic	Abitbi	FRA	GBR	250
Abitbi	1763	cosmopolitan_french	catholic	Abitbi	GBR	GBR	250
Abitbi	1790	french_canadian	catholic	Abitbi	GBR	GBR	250
Abitbi	1870	french_canadian	catholic	Abitbi	CAN	GBR	250
Abitbi	1910	french_canadian	catholic	Amos	CAN	GBR	250
Abitbi	1932	french_canadian	catholic	Val-d'Or	CAN	GBR	250
Moose Cree	-2000	cree	totemism	Moose Cree	na	na	1000
Moose Cree	1679	english	protestant	Moose Cree	ENG	ENG	100
Moose Cree	1700	english	protestant	Moose Cree	ENG	ENG	550
Moose Cree	1707	english	protestant	Moose Cree	GBR	GBR	550
Moose Cree	1750	english	catholic	Moose Cree	GBR	GBR	550
Moose Cree	1790	british_canadian	catholic	Moose Cree	GBR	GBR	550
Moose Cree	1870	british_canadian	catholic	Moose Cree	CAN	GBR	550
Moose Cree	1905	british_canadian	catholic	Moose Factory	CAN	GBR	550
Attawapiskat	-2000	cree	totemism	Attawapiskat	na	na	1000
Attawapiskat	1689	english	protestant	Attawapiskat	ENG	ENG	100
Attawapiskat	1707	english	protestant	Attawapiskat	GBR	ENG	100
Attawapiskat	1750	english	protestant	Attawapiskat	GBR	ENG	880
Attawapiskat	1790	british_canadian	protestant	Attawapiskat	GBR	ENG	880
Attawapiskat	1870	british_canadian	protestant	Attawapiskat	CAN	ENG	880
Attawapiskat	1682	english	catholic	Swampy Cree	ENG	ENG	100
Attawapiskat	1707	english	catholic	Swampy Cree	GBR	GBR	100
Attawapiskat	1750	english	catholic	Swampy Cree	GBR	GBR	880
Attawapiskat	1790	british_canadian	catholic	Swampy Cree	GBR	GBR	880
Attawapiskat	1820	british_canadian	catholic	York Factory	GBR	GBR	880
Attawapiskat	1870	british_canadian	catholic	York Factory	CAN	GBR	880
Attawapiskat	1717	english	catholic	Churchill	GBR	GBR	150
Attawapiskat	1750	english	catholic	Churchill	GBR	GBR	550
Attawapiskat	1790	british_canadian	catholic	Churchill	GBR	GBR	550
Attawapiskat	1870	british_canadian	catholic	Churchill	CAN	GBR	550
Attawapiskat	1660	anishinabe	totemism	Ojibwa	OJI	OJI	550
Attawapiskat	1710	anishinabe	totemism	Ojibwa	XXX	XXX	0
Attawapiskat	1717	cosmopolitan_french	catholic	Fort Kaministiquia	FRA	FRA	100
Attawapiskat	1763	english	protestant	Fort Kaministiquia	GBR	GBR	400
Attawapiskat	1790	british_canadian	protestant	Fort Kaministiquia	GBR	GBR	400
Attawapiskat	1820	british_canadian	protestant	Thunder Bay	GBR	GBR	400
Attawapiskat	1867	british_canadian	protestant	Thunder Bay	CAN	GBR	400
Winnipeg	-2000	nakota	totemism	Manitoba	na	na	1000
Winnipeg	1734	cosmopolitan_french	catholic	Fort Maurepas	FRA	FRA	100
Winnipeg	1763	english	protestant	Fort Maurepas	GBR	GBR	450
Winnipeg	1790	british_canadian	protestant	Fort Maurepas	GBR	GBR	450
Winnipeg	1870	british_canadian	protestant	Fort Maurepas	CAN	GBR	450
Winnipeg	1873	british_canadian	protestant	Winnipeg	CAN	GBR	450
Atikaki	-2000	cree	totemism	Atikaki	na	na	1000
Atikaki	1763	english	protestant	Atikaki	GBR	GBR	500
